Date (m/d/y);Day;Time;Sample;CI2-F (ATI) 80ft (PPM);CI2-F 2 (Rosemont) 80ft (PPM);CI2-F (ATI) 1100ft (PPM);CI2-F 2 (Depolox) 1100ft (PPM);Difference ATI
26/01/05;2;11:34;388;0.89;0.88;0.88;0.92;0.01
26/01/05;2;11:35;389;0.89;0.9;0.88;0.92;0.01
26/01/05;2;11:36;390;0.89;0.89;0.88;0.92;0.01
26/01/05;2;11:37;391;0.89;0.91;0.88;0.92;0.01
26/01/05;2;11:38;392;0.89;0.91;0.88;0.92;0.01
26/01/05;2;11:39;393;0.89;0.88;0.88;0.92;0.01
26/01/05;2;11:40;394;0.89;0.91;0.88;0.92;0.01
26/01/05;2;11:41;395;0.89;0.89;0.88;0.92;0.01
26/01/05;2;11:42;396;0.89;0.9;0.88;0.92;0.01
26/01/05;2;11:43;397;0.89;0.91;0.88;0.92;0.01
26/01/05;2;11:44;398;0.89;0.89;0.88;0.92;0.01
26/01/05;2;11:45;399;0.89;0.91;0.88;0.92;0.01
26/01/05;2;11:46;400;0.89;0.9;0.88;0.92;0.01
26/01/05;2;11:47;401;0.89;0.91;0.88;0.92;0.01
26/01/05;2;11:48;402;0.89;0.92;0.88;0.92;0.01
26/01/05;2;11:49;403;0.89;0.9;0.88;0.92;0.01
26/01/05;2;11:50;404;0.89;0.92;0.88;0.92;0.01
26/01/05;2;12:30;405;0.88;0.93;0.87;0.91;0.01
26/01/05;2;12:31;406;0.88;0.91;0.87;0.91;0.01
26/01/05;2;12:33;407;0.88;0.93;0.87;0.92;0.01
26/01/05;2;12:34;408;0.88;0.91;0.87;0.91;0.01
26/01/05;2;12:35;409;0.88;0.93;0.87;0.91;0.01
26/01/05;2;12:36;410;0.88;0.91;0.86;0.91;0.02
26/01/05;2;12:37;411;0.89;0.93;0.86;0.91;0.03
26/01/05;2;12:38;412;0.88;0.93;0.87;0.91;0.01
26/01/05;2;12:39;413;0.89;0.91;0.87;0.91;0.02
26/01/05;2;12:40;414;0.88;0.93;0.87;0.91;0.01
26/01/05;2;12:41;415;0.88;0.92;0.87;0.91;0.01
26/01/05;2;12:42;416;0.89;0.93;0.86;0.91;0.03
26/01/05;2;12:43;417;0.89;0.93;0.87;0.91;0.02
26/01/05;2;12:44;418;0.88;0.91;0.86;0.91;0.02
26/01/05;2;12:45;419;0.88;0.94;0.86;0.91;0.02
26/01/05;2;12:46;420;0.88;0.92;0.86;0.91;0.02
26/01/05;2;12:47;421;0.88;0.93;0.86;0.91;0.02
26/01/05;2;12:48;422;0.88;0.94;0.87;0.91;0.01
26/01/05;2;12:49;423;0.88;0.91;0.86;0.91;0.02
26/01/05;2;12:50;424;0.88;0.93;0.86;0.91;0.02
26/01/05;2;12:51;425;0.88;0.93;0.86;0.91;0.02
26/01/05;2;12:52;426;0.88;0.94;0.86;0.91;0.02
26/01/05;2;12:53;427;0.88;0.94;0.86;0.91;0.02
26/01/05;2;12:54;428;0.88;0.91;0.86;0.91;0.02
26/01/05;2;12:55;429;0.88;0.93;0.86;0.91;0.02
26/01/05;2;12:56;430;0.88;0.93;0.86;0.91;0.02
26/01/05;2;12:57;431;0.88;0.96;0.86;0.91;0.02
26/01/05;2;12:58;432;0.88;0.97;0.86;0.91;0.02
26/01/05;2;12:59;433;0.88;0.95;0.86;0.91;0.02
26/01/05;2;1:00;434;0.88;0.97;0.86;0.91;0.02
26/01/05;2;1:01;435;0.88;0.95;0.86;0.91;0.02
26/01/05;2;1:02;436;0.88;0.97;0.86;0.91;0.02
26/01/05;2;1:03;437;0.86;0.96;0.86;0.91;0
26/01/05;2;1:04;438;0.78;0.88;0.86;0.91;-0.08
26/01/05;2;1:05;439;0.48;0.75;0.86;0.91;-0.38
26/01/05;2;1:06;440;0.34;0.68;0.86;0.91;-0.52
26/01/05;2;1:07;441;0.3;0.68;0.86;0.91;-0.56
26/01/05;2;1:08;442;0.3;0.69;0.86;0.91;-0.56
26/01/05;2;1:09;443;0.29;0.66;0.85;0.91;-0.56
26/01/05;2;1:10;444;0.31;0.7;0.85;0.91;-0.54
26/01/05;2;1:11;445;0.33;0.69;0.85;0.91;-0.52
26/01/05;2;1:12;446;0.33;0.7;0.85;0.91;-0.52
26/01/05;2;1:13;447;0.33;0.7;0.86;0.91;-0.53
26/01/05;2;1:14;448;0.33;0.69;0.85;0.91;-0.52
26/01/05;2;1:15;449;0.34;0.71;0.85;0.91;-0.51
26/01/05;2;1:16;450;0.34;0.69;0.85;0.91;-0.51
26/01/05;2;1:17;451;0.34;0.71;0.85;0.91;-0.51
26/01/05;2;1:18;452;0.35;0.72;0.85;0.91;-0.5
26/01/05;2;1:19;453;0.34;0.7;0.85;0.91;-0.51
26/01/05;2;1:20;454;0.34;0.72;0.85;0.91;-0.51
26/01/05;2;1:21;455;0.35;0.71;0.85;0.91;-0.5
26/01/05;2;1:22;456;0.34;0.73;0.85;0.91;-0.51
26/01/05;2;1:23;457;0.43;0.86;0.85;0.9;-0.42
26/01/05;2;1:24;458;0.78;0.96;0.82;0.86;-0.04
26/01/05;2;1:25;459;0.8;0.99;0.7;0.72;0.1
26/01/05;2;1:26;460;0.85;0.99;0.53;0.53;0.32
26/01/05;2;1:27;461;0.87;1.02;0.42;0.43;0.45
26/01/05;2;1:28;462;0.82;0.91;0.37;0.37;0.45
26/01/05;2;1:29;463;0.28;0.76;0.34;0.34;-0.06
26/01/05;2;1:30;464;0.69;0.98;0.34;0.34;0.35
26/01/05;2;1:31;465;0.84;0.98;0.34;0.35;0.5
26/01/05;2;1:32;466;0.86;0.99;0.35;0.36;0.51
26/01/05;2;1:33;467;0.87;0.98;0.35;0.36;0.52
26/01/05;2;1:34;468;0.87;0.96;0.35;0.36;0.52
26/01/05;2;1:35;469;0.87;0.98;0.35;0.36;0.52
26/01/05;2;1:36;470;0.88;0.96;0.35;0.36;0.53
26/01/05;2;1:37;471;0.87;0.98;0.35;0.36;0.52
26/01/05;2;1:38;472;0.87;0.98;0.35;0.37;0.52
26/01/05;2;1:39;473;0.87;0.96;0.36;0.37;0.51
26/01/05;2;1:40;474;0.87;0.98;0.36;0.37;0.51
26/01/05;2;1:41;475;0.88;0.96;0.35;0.37;0.53
26/01/05;2;1:42;476;0.88;0.98;0.36;0.38;0.52
26/01/05;2;1:43;477;0.88;0.98;0.38;0.41;0.5
26/01/05;2;1:44;478;0.88;0.95;0.53;0.59;0.35
26/01/05;2;1:45;479;0.87;0.98;0.67;0.73;0.2
26/01/05;2;1:46;480;0.88;0.95;0.75;0.81;0.13
26/01/05;2;1:47;481;0.88;0.97;0.79;0.86;0.09
26/01/05;2;1:48;482;0.88;0.98;0.79;0.83;0.09
26/01/05;2;1:49;483;0.88;0.95;0.59;0.61;0.29
26/01/05;2;1:50;484;0.88;0.97;0.56;0.61;0.32
26/01/05;2;1:51;485;0.88;0.95;0.67;0.73;0.21
26/01/05;2;1:52;486;0.87;0.98;0.76;0.82;0.11
26/01/05;2;1:53;487;0.87;0.99;0.8;0.87;0.07
26/01/05;2;1:54;488;0.87;0.96;0.83;0.89;0.04
26/01/05;2;1:55;489;0.88;1;0.83;0.89;0.05
26/01/05;2;1:56;490;0.87;0.99;0.84;0.9;0.03
26/01/05;2;1:57;491;0.87;1.01;0.84;0.9;0.03
26/01/05;2;1:58;492;0.88;1.02;0.84;0.9;0.04
26/01/05;2;1:59;493;0.88;0.99;0.84;0.9;0.04
26/01/05;2;2:00;494;0.87;1.02;0.84;0.9;0.03
26/01/05;2;2:01;495;0.88;1;0.85;0.9;0.03
26/01/05;2;2:02;496;0.87;1;0.85;0.9;0.02
26/01/05;2;2:03;497;0.87;0.97;0.84;0.9;0.03
26/01/05;2;2:04;498;0.88;0.93;0.85;0.9;0.03
26/01/05;2;2:05;499;0.88;0.95;0.85;0.9;0.03
26/01/05;2;2:06;500;0.87;0.93;0.84;0.9;0.03
26/01/05;2;2:07;501;0.88;0.94;0.85;0.9;0.03
26/01/05;2;2:08;502;0.88;0.94;0.84;0.9;0.04
26/01/05;2;2:09;503;0.87;0.92;0.85;0.91;0.02
26/01/05;2;2:10;504;0.88;0.94;0.85;0.9;0.03
26/01/05;2;2:11;505;0.88;0.92;0.85;0.9;0.03
26/01/05;2;2:12;506;0.87;0.94;0.84;0.9;0.03
26/01/05;2;2:13;507;0.88;0.94;0.84;0.9;0.04
26/01/05;2;2:14;508;0.88;0.92;0.84;0.9;0.04
26/01/05;2;2:15;509;0.88;0.93;0.85;0.9;0.03
26/01/05;2;2:16;510;0.88;0.92;0.84;0.9;0.04
26/01/05;2;2:17;511;0.87;0.93;0.84;0.91;0.03
26/01/05;2;2:18;512;0.88;0.93;0.84;0.91;0.04
26/01/05;2;2:19;513;0.87;0.91;0.84;0.9;0.03
26/01/05;2;2:20;514;0.87;0.93;0.84;0.9;0.03
26/01/05;2;2:21;515;0.88;0.92;0.84;0.9;0.04
26/01/05;2;2:22;516;0.88;0.93;0.84;0.91;0.04
26/01/05;2;2:23;517;0.87;0.93;0.84;0.9;0.03
26/01/05;2;2:24;518;0.88;0.91;0.84;0.9;0.04
26/01/05;2;2:25;519;0.87;0.93;0.84;0.9;0.03
26/01/05;2;2:26;520;0.88;0.91;0.85;0.91;0.03
26/01/05;2;2:27;521;0.88;0.93;0.84;0.9;0.04
26/01/05;2;2:28;522;0.88;0.93;0.84;0.9;0.04
26/01/05;2;2:29;523;0.88;0.91;0.84;0.91;0.04
26/01/05;2;2:30;524;0.88;0.93;0.84;0.9;0.04
26/01/05;2;2:31;525;0.87;0.91;0.84;0.9;0.03
26/01/05;2;2:32;526;0.87;0.93;0.84;0.9;0.03
26/01/05;2;2:33;527;0.88;0.93;0.84;0.9;0.04
26/01/05;2;2:34;528;0.87;0.91;0.84;0.91;0.03
26/01/05;2;2:35;529;0.87;0.93;0.84;0.9;0.03
26/01/05;2;2:36;530;0.87;0.92;0.84;0.9;0.03
26/01/05;2;2:37;531;0.88;0.93;0.84;0.9;0.04
26/01/05;2;2:38;532;0.88;0.93;0.84;0.9;0.04
26/01/05;2;2:39;533;0.88;0.91;0.84;0.91;0.04
26/01/05;2;2:41;534;0.88;0.92;0.84;0.91;0.04
26/01/05;2;2:42;535;0.88;0.93;0.84;0.91;0.04
26/01/05;2;2:43;536;0.88;0.92;0.84;0.91;0.04
26/01/05;2;2:44;537;0.88;0.89;0.84;0.91;0.04
26/01/05;2;2:45;538;0.88;0.89;0.84;0.91;0.04
26/01/05;2;2:46;539;0.88;0.87;0.84;0.91;0.04
26/01/05;2;2:47;540;0.88;0.88;0.84;0.91;0.04
26/01/05;2;2:48;541;0.88;0.88;0.84;0.91;0.04
26/01/05;2;2:49;542;0.84;0.83;0.84;0.91;0
26/01/05;2;2:50;543;0.62;0.64;0.84;0.91;-0.22
26/01/05;2;2:51;544;0.08;0.45;0.84;0.91;-0.76
26/01/05;2;2:52;545;0.04;0.43;0.84;0.91;-0.8
26/01/05;2;2:53;546;0.03;0.42;0.84;0.91;-0.81
26/01/05;2;2:54;547;0.03;0.4;0.84;0.91;-0.81
26/01/05;2;2:55;548;0.03;0.42;0.84;0.91;-0.81
26/01/05;2;2:56;549;0.03;0.4;0.84;0.91;-0.81
26/01/05;2;2:57;550;0.03;0.41;0.84;0.91;-0.81
26/01/05;2;2:58;551;0.02;0.41;0.84;0.91;-0.82
26/01/05;2;2:59;552;0.03;0.4;0.84;0.91;-0.81
26/01/05;2;3:00;553;0.02;0.44;0.84;0.91;-0.82
26/01/05;2;3:01;554;0.02;0.46;0.84;0.91;-0.82
26/01/05;2;3:02;555;0.02;0.47;0.84;0.91;-0.82
26/01/05;2;3:03;556;0.02;0.47;0.84;0.91;-0.82
26/01/05;2;3:04;557;0.02;0.46;0.84;0.91;-0.82
26/01/05;2;3:05;558;0.02;0.48;0.84;0.91;-0.82
26/01/05;2;3:06;559;0.02;0.47;0.84;0.91;-0.82
26/01/05;2;3:07;560;0.02;0.47;0.84;0.91;-0.82
26/01/05;2;3:08;561;0.02;0.48;0.84;0.91;-0.82
26/01/05;2;3:09;562;0.02;0.49;0.83;0.9;-0.81
26/01/05;2;3:10;563;0.27;0.71;0.77;0.79;-0.5
26/01/05;2;3:11;564;0.73;0.9;0.4;0.33;0.33
26/01/05;2;3:12;565;0.82;0.92;0.12;0.11;0.7
26/01/05;2;3:13;566;0.84;0.92;0.09;0.07;0.75
26/01/05;2;3:14;567;0.85;0.9;0.08;0.07;0.77
26/01/05;2;3:15;568;0.86;0.91;0.07;0.06;0.79
26/01/05;2;3:16;569;0.86;0.9;0.07;0.06;0.79
26/01/05;2;3:17;570;0.87;0.91;0.06;0.06;0.81
26/01/05;2;3:18;571;0.87;0.91;0.06;0.06;0.81
26/01/05;2;3:19;572;0.87;0.89;0.06;0.05;0.81
26/01/05;2;3:20;573;0.87;0.91;0.05;0.05;0.82
26/01/05;2;3:21;574;0.87;0.9;0.05;0.05;0.82
26/01/05;2;3:22;575;0.87;0.91;0.05;0.05;0.82
26/01/05;2;3:23;576;0.88;0.91;0.05;0.05;0.83
26/01/05;2;3:24;577;0.88;0.89;0.05;0.05;0.83
26/01/05;2;3:25;578;0.87;0.92;0.04;0.05;0.83
26/01/05;2;3:26;579;0.87;0.91;0.04;0.05;0.83
26/01/05;2;3:27;580;0.88;0.92;0.04;0.05;0.84
26/01/05;2;3:28;581;0.88;0.92;0.04;0.05;0.84
26/01/05;2;3:29;582;0.88;0.9;0.04;0.05;0.84
26/01/05;2;3:30;583;0.87;0.92;0.04;0.05;0.83
26/01/05;2;3:31;584;0.88;0.91;0.11;0.17;0.77
26/01/05;2;3:32;585;0.88;0.92;0.38;0.47;0.5
26/01/05;2;3:33;586;0.88;0.92;0.57;0.68;0.31
26/01/05;2;3:34;587;0.88;0.91;0.67;0.77;0.21
26/01/05;2;3:35;588;0.88;0.92;0.73;0.82;0.15
26/01/05;2;3:36;589;0.88;0.92;0.76;0.85;0.12
26/01/05;2;3:37;590;0.88;0.92;0.78;0.86;0.1
26/01/05;2;3:38;591;0.88;0.93;0.79;0.87;0.09
26/01/05;2;3:39;592;0.88;0.9;0.8;0.88;0.08
26/01/05;2;3:40;593;0.88;0.93;0.81;0.89;0.07
26/01/05;2;3:41;594;0.88;0.92;0.82;0.89;0.06
26/01/05;2;3:42;595;0.88;0.92;0.82;0.89;0.06
26/01/05;2;3:43;596;0.88;0.92;0.82;0.9;0.06
26/01/05;2;3:44;597;0.88;0.9;0.83;0.9;0.05
26/01/05;2;3:45;598;0.88;0.93;0.83;0.9;0.05
26/01/05;2;3:46;599;0.88;0.92;0.83;0.9;0.05
26/01/05;2;3:47;600;0.88;0.92;0.83;0.9;0.05
26/01/05;2;3:48;601;0.88;0.93;0.83;0.9;0.05
26/01/05;2;3:49;602;0.88;0.91;0.83;0.9;0.05
26/01/05;2;3:50;603;0.88;0.93;0.83;0.9;0.05
26/01/05;2;3:51;604;0.88;0.92;0.84;0.91;0.04
26/01/05;2;3:52;605;0.88;0.92;0.84;0.91;0.04
26/01/05;2;3:53;606;0.88;0.93;0.84;0.9;0.04
26/01/05;2;3:54;607;0.88;0.91;0.84;0.9;0.04
26/01/05;2;3:55;608;0.88;0.93;0.83;0.91;0.05
26/01/05;2;3:56;609;0.88;0.92;0.84;0.9;0.04
26/01/05;2;3:57;610;0.88;0.93;0.83;0.91;0.05
26/01/05;2;3:58;611;0.88;0.85;0.84;0.91;0.04
26/01/05;2;3:59;612;0.88;0.82;0.84;0.91;0.04
26/01/05;2;4:00;613;0.88;0.84;0.84;0.91;0.04
